,url,headline,details,date
1,https://www.factcheck.org/2020/12/nine-election-fraud-claims-none-credible/,"Nine Election Fraud Claims, None Credible","A list of bogus election fraud claims, cobbled together from dubious websites and failed lawsuits aimed at overturning President-elect Joe Biden’s victory in the 2020 election, has spread widely online.",11-12-2020
2,https://www.factcheck.org/2020/12/a-guide-to-pfizer-biontechs-covid-19-vaccine/,A Guide to Pfizer/BioNTech’s COVID-19 Vaccine,A primer on the first COVID-19 vaccine to receive authorization in the U.S.,09-12-2020
3,https://www.factcheck.org/2020/12/warnocks-false-ad-on-taxes/,Warnock’s False Ad on Taxes,A TV ad from Democrat Raphael Warnock falsely says Republican Sen. Kelly Loeffler “supports raising taxes on Georgia’s middle class.” ,09-12-2020
4,https://www.factcheck.org/2020/12/trumps-bogus-swing-state-claim/,Trump’s Bogus Swing State Claim,"In Georgia, President Trump continued to make baseless claims about a “rigged” election, drawing false comparisons between President-elect Joe Biden’s performance in swing states and that of the last two Democratic presidential nominees.",09-12-2020
5,https://www.factcheck.org/2020/12/primer-on-trumps-visit-to-georgia/,Primer on Trump’s Visit to Georgia,"In advance of President Donald Trump’s visit to Georgia, we recap our fact-checking reports on the Georgia Senate races and Trump’s false, misleading and unfounded statements about alleged election fraud in that state.",05-12-2020
6,https://www.factcheck.org/2020/12/video-doesnt-show-suitcases-of-illegal-ballots-in-georgia/,Video Doesn’t Show ‘Suitcases’ of Illegal Ballots in Georgia,The Trump campaign is falsely claiming that a video captured election workers in Georgia adding thousands of illegal ballots that were brought into an Atlanta facility in suspicious “suitcases” on election night.,04-12-2020
7,https://www.factcheck.org/2020/12/nrscs-dual-attack-on-warnock-and-ossoff/,NRSC’s Dual Attack on Warnock and Ossoff,A TV ad from a Republican group accuses the Democratic candidates in Georgia’s two Senate runoff elections of having “radically dangerous” ideas on the criminal justice system and the environment. But there’s more to their positions than what the ad suggests.,04-12-2020
8,https://www.factcheck.org/2020/12/trumps-most-important-speech-was-mostly-false/,Trump’s ‘Most Important’ Speech Was Mostly False,"In what he billed as perhaps “the most important speech I’ve ever made,” President Donald Trump continued his attempt to deceive the American public into believing the election was “rigged.”",03-12-2020
9,https://www.factcheck.org/2020/12/video-doesnt-show-election-fraud-in-georgia/,Video Doesn’t Show Election Fraud in Georgia,"Conspiracy theorists falsely claimed that a video of an election worker during the Georgia machine recount revealed fraud in the 2020 election. All it showed was an election worker performing a routine part of the process, according to election officials.",02-12-2020
0,https://www.factcheck.org/2020/12/a-misleading-dark-money-attack-on-ossoff/,A Misleading Dark Money Attack on Ossoff,A Republican TV ad falsely suggests that “liberal megadonors” are spending $1 billion in “dark money” to help Democrat Jon Ossoff in Georgia’s Senate runoff race. That’s how much multiple experts estimate may be spent on all candidates in both Georgia Senate elections for the entire 2020 campaign.,01-12-2020
1,https://www.factcheck.org/2020/11/trump-repeats-baseless-false-claims-about-the-election/,"Trump Repeats Baseless, False Claims About the Election","In his first interview since Election Day, President Donald Trump recapped baseless, false and misleading claims he has made before of a “rigged” election.",30-11-2020
2,https://www.factcheck.org/2020/11/danish-study-doesnt-prove-masks-dont-work-against-the-coronavirus/,Danish Study Doesn’t Prove Masks Don’t Work Against the Coronavirus,"Q: Did a recent study in Denmark show that face masks are useless for COVID-19?
A: No. The study found that face masks did not have a large protective effect for wearers — not that masks provide no protection at all or don’t offer benefits to others. ",25-11-2020
3,https://www.factcheck.org/2020/11/ad-links-warnock-to-defunding-the-police/,Ad Links Warnock to ‘Defunding the Police’,A conservative group’s deceptive TV ad suggests that Democrat Raphael Warnock supports defunding the police. He has said multiple times that he doesn’t.,25-11-2020
4,https://www.factcheck.org/2020/11/checking-the-facts-in-the-world-of-trump/,Checking the Facts in the World of Trump,"Rem Rieder — an editor at the Washington Post, Miami Herald, American Journalism Review and USA TODAY — looks back at his year of fact-checking in the age of Donald Trump. ",25-11-2020
5,https://www.factcheck.org/2020/11/no-landslide-for-biden-either/,"No ‘Landslide’ for Biden, Either","Back in 2016, Donald Trump wrongly called his victory a “landslide.” Now, some are taking a page out of Trump’s book to claim Biden won in a landslide. He didn’t, either. ",24-11-2020
6,https://www.factcheck.org/2020/11/the-facts-on-trumps-post-election-legal-challenges/,The Facts on Trump’s Post-Election Legal Challenges,"For this story, we ignore the tweets and press conferences and look at what the president’s lawyers have been saying in court. Two things stick out: a lack of evidence of voter fraud and a long string of legal defeats and setbacks.",20-11-2020
7,https://www.factcheck.org/2020/11/trump-misinformation-on-georgia-ballot-rejections/,Trump Misinformation on Georgia Ballot Rejections,The percentage of mail-in ballots rejected in Georgia due to signature issues this year was about the same as in the 2016 and 2018 general elections — contrary to a tweet by President Donald Trump. ,20-11-2020
8,https://www.factcheck.org/2020/11/loeffler-warnock-runoff-starts-with-attack-ads/,Loeffler-Warnock Runoff Starts with Attack Ads,"About a week after Georgia’s special election headed to a runoff, Sen. Kelly Loeffler, a Republican, and Rev. Raphael Warnock, a Democrat, both launched questionable attacks that the other candidate has disputed.",19-11-2020
9,https://www.factcheck.org/2020/11/twisting-the-facts-on-dirty-money-in-the-georgia-race/,Twisting the Facts on ‘Dirty Money’ in the Georgia Race,"Democratic Senate candidate Jon Ossoff’s production company received payments from a Hong Kong media company and Al Jazeera for the rights to air investigative pieces, but a Republican TV ad misleadingly claims Ossoff got cash from “Chinese communists and terrorist sympathizers.”",19-11-2020
0,https://www.factcheck.org/2020/11/opening-ads-in-the-perdue-ossoff-runoff/,Opening Ads in the Perdue-Ossoff Runoff,"In the first TV ads of the runoff campaign that could help decide the balance of the Senate, Republican Sen. David Perdue warned his opponent would “radically change America,” while Democratic challenger Jon Ossoff accused his opponent of downplaying the coronavirus.",19-11-2020
