,url,headline,date,time
1,https://factcheck.afp.com/fit-people-are-not-immune-covid-19,Fit people are not immune to COVID-19,31-07-2020,18:03
2,https://factcheck.afp.com/hoax-posts-offer-hazard-pay-us-pandemic-workers,Hoax posts offer hazard pay to US pandemic workers,30-07-2020,17:34
3,https://factcheck.afp.com/us-was-not-only-country-end-slavery,US was not the only country to end slavery,30-07-2020,18:55
4,https://factcheck.afp.com/trump-spreads-video-doctor-who-falsely-claims-hydroxychloroquine-cures-covid-19,Trump spreads video of doctor who falsely claims hydroxychloroquine cures COVID-19,29-07-2020,22:02
5,https://factcheck.afp.com/cdc-did-not-cut-florida-covid-19-count-after-trump-administration-rerouted-hospital-data,CDC did not cut Florida COVID-19 count after Trump administration rerouted hospital data,24-07-2020,23:17
6,https://factcheck.afp.com/obama-did-not-sign-law-used-authorize-federal-force-portland,Obama did not sign law used to authorize federal force in Portland,24-07-2020,22:35
7,https://factcheck.afp.com/joe-bidens-stance-fracking-targeted-misleading-political-ad,Joe Biden’s stance on fracking targeted in misleading political ad,24-07-2020,20:41
8,https://factcheck.afp.com/social-media-posts-falsely-attribute-coronavirus-comments-fauci,Social media posts falsely attribute coronavirus comments to Fauci,24-07-2020,16:38
9,https://factcheck.afp.com/south-dakota-does-not-have-lowest-coronavirus-rate-us,South Dakota does not have the lowest coronavirus rate in the US,23-07-2020,22:07
10,https://factcheck.afp.com/fox-news-star-tucker-carlsons-home-was-not-targeted-due-new-york-times-article,Fox News star Tucker Carlson’s home was not targeted due to New York Times article,22-07-2020,23:43
11,https://factcheck.afp.com/misleading-video-uses-footage-fauci-criticize-face-mask-use,Misleading video uses footage of Fauci to criticize face mask use,22-07-2020,23:24
12,https://factcheck.afp.com/flawed-experiments-exaggerate-risk-co2-concentration-masks,Flawed experiments exaggerate risk from CO2 concentration in masks,02-09-2020,16:35
13,https://factcheck.afp.com/photo-does-not-show-trump-ally-stone-celebrating-after-prison-sentence-commuted,Photo does not show Trump ally Stone celebrating after prison sentence commuted,16-07-2020,21:59
14,https://factcheck.afp.com/ad-uv-wands-plays-coronavirus-fears-and-spreads-false-claims,Ad for UV wands plays on coronavirus fears and spreads false claims,16-07-2020,22:15
0,https://factcheck.afp.com/falling-man-video-was-not-trying-deface-famed-french-monument,Falling man in video was not trying to ‘deface’ famed French monument,16-07-2020,02:15
1,https://factcheck.afp.com/fake-pharmaceutical-ad-urges-viewers-take-shot,Fake pharmaceutical ad urges viewers to ‘take the shot’,02-09-2020,19:33
2,https://factcheck.afp.com/online-retailer-wayfair-hit-child-trafficking-conspiracy-theory,Online retailer Wayfair hit by child trafficking conspiracy theory,14-07-2020,23:11
3,https://factcheck.afp.com/drywall-dust-penetration-does-not-mean-face-masks-are-ineffective-against-coronavirus,Drywall dust penetration does not mean face masks are ineffective against the coronavirus,02-09-2020,19:12
4,https://factcheck.afp.com/health-authorities-recommend-face-masks-curb-coronavirus-transmission,Health authorities recommend face masks to curb coronavirus transmission,02-09-2020,19:33
5,https://factcheck.afp.com/flu-shots-do-not-contain-coronaviruses,Flu shots do not contain coronaviruses,02-09-2020,19:34
6,https://factcheck.afp.com/black-lives-matter-did-not-release-flyer-describing-whites-enemy,Black Lives Matter did not release flyer describing whites as ‘the enemy’,10-07-2020,17:00
7,https://factcheck.afp.com/anthony-fauci-not-married-ghislaine-maxwells-sister,Anthony Fauci is not married to Ghislaine Maxwell’s sister,02-09-2020,19:34
8,https://factcheck.afp.com/no-whole-foods-does-not-refuse-cash-payments-its-stores,"No, Whole Foods does not refuse cash payments at its stores",09-07-2020,17:54
9,https://factcheck.afp.com/robbery-priest-us-capital-sparks-misleading-hate-crime-claims,Robbery of priest in US capital sparks misleading hate-crime claims,07-07-2020,20:11
10,https://factcheck.afp.com/facebook-did-not-say-it-would-remove-nra-supporters,Facebook did not say it would remove NRA supporters,06-07-2020,23:12
11,https://factcheck.afp.com/melania-trumps-dress-did-not-feature-drawings-child-sex-abuse-victims,Melania Trump’s dress did not feature drawings by child sex abuse victims,06-07-2020,19:40
12,https://factcheck.afp.com/antifa-july-4th-plot-unproven-say-police,"Antifa July 4th plot unproven, say police",02-07-2020,23:12
13,https://factcheck.afp.com/covid-19-cases-spike-us-mask-misinformation-also-spreads,"As COVID-19 cases spike in US, mask misinformation also spreads",28-07-2020,18:49
14,https://factcheck.afp.com/photo-shows-pro-democracy-protesters-hong-kong,Photo shows pro-democracy protesters in Hong Kong,30-06-2020,18:09
0,https://factcheck.afp.com/us-protests-rage-false-posts-say-nazis-defunded-police,"As US protests rage, false posts say Nazis defunded police",25-06-2020,22:45
1,https://factcheck.afp.com/serena-williams-views-race-misrepresented-due-namesakes-facebook-post,Serena Williams’ views on race misrepresented due to namesake’s Facebook post,24-06-2020,22:15
2,https://factcheck.afp.com/cdc-does-not-add-flu-and-pneumonia-deaths-covid-19-toll,CDC does not add flu and pneumonia deaths to COVID-19 toll,16-07-2020,17:42
3,https://factcheck.afp.com/dc-biker-event-photo-falsely-used-inflate-trump-tulsa-rally-crowd,DC biker event photo falsely used to inflate Trump Tulsa rally crowd,22-06-2020,23:44
4,https://factcheck.afp.com/obama-foundation-did-not-publish-george-floyd-photo-his-death,The Obama Foundation did not publish George Floyd photo before his death,19-06-2020,22:40
5,https://factcheck.afp.com/biker-gangs-did-not-unite-drive-antifa-out-seattle,Biker gangs did not unite to drive Antifa out of Seattle,03-08-2020,19:33
6,https://factcheck.afp.com/meme-misleads-about-danger-long-term-mask-use,Meme misleads about danger of long-term mask use,18-06-2020,21:08
7,https://factcheck.afp.com/us-faces-covid-19-spike-outdated-mask-info-spreads-online,"As US faces COVID-19 spike, outdated mask info spreads online",17-06-2020,23:36
8,https://factcheck.afp.com/black-lives-matter-did-not-issue-rules-white-protesters,Black Lives Matter did not issue ‘rules’ for white protesters,17-06-2020,17:05
9,https://factcheck.afp.com/hillary-clinton-was-not-trial-early-june,Hillary Clinton was not ‘on trial’ in early June,15-09-2020,20:19
10,https://factcheck.afp.com/posts-falsely-claim-photo-assault-survivor-shows-woman-robbed-george-floyd,Posts falsely claim photo of assault survivor shows woman robbed by George Floyd,16-06-2020,18:32
11,https://factcheck.afp.com/fabricated-lincoln-quote-spreads-online-protests-rock-us,Fabricated Lincoln quote spreads online as protests rock US,15-06-2020,23:47
12,https://factcheck.afp.com/posts-falsely-claim-coronavirus-testing-excuse-implant-gates-funded-microchips,Posts falsely claim coronavirus testing is an excuse to implant Gates-funded microchips,11-06-2020,18:32
13,https://factcheck.afp.com/false-posts-claim-minnesota-attorney-general-soros-colluding-antifa,"False posts claim Minnesota attorney general, Soros colluding with Antifa",03-08-2020,19:32
14,https://factcheck.afp.com/filipino-facebook-page-behind-doctored-kendall-jenner-black-lives-matter-photo,Filipino Facebook page behind doctored Kendall Jenner Black Lives Matter photo,20-07-2020,17:21
0,https://factcheck.afp.com/posts-falsely-claim-george-floyds-death-was-staged,Posts falsely claim that George Floyd’s death was staged,11-06-2020,13:25
1,https://factcheck.afp.com/posts-falsely-claim-attack-killed-man-oregon-during-george-floyd-protests,Posts falsely claim attack killed man in Oregon during George Floyd protests,05-06-2020,22:13
2,https://factcheck.afp.com/post-picturing-senior-us-air-force-member-was-not-written-him,Post picturing senior US Air Force member was not written by him,04-06-2020,21:32
3,https://factcheck.afp.com/los-angeles-vietnam-memorial-was-not-vandalized-during-george-floyd-protests,Los Angeles Vietnam memorial was not vandalized during George Floyd protests,04-06-2020,21:24
